"mode","peel","label","ok","terminal_year","echo_end_year","last_survey_year","npar","nll","max_grad","converged","BMSY","OFL_tot","elapsed_sec","problems","warnings"
"drop_survey",0,"drop_survey/0",TRUE,2024,2024,2024,407,-22489.8428799535,0.0244597250650896,FALSE,172.29328824,51.72123236,471,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.0245 > 1e-03"
"drop_survey",1,"drop_survey/1",TRUE,2023,2023,2023,402,-21785.280907124,0.000545736686877459,TRUE,NA,NA,100.3,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"drop_survey",2,"drop_survey/2",TRUE,2022,2022,2022,399,-21233.0504384016,0.0168177823468961,FALSE,NA,NA,94.2,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.0168 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",3,"drop_survey/3",TRUE,2021,2021,2021,396,-20660.0651489822,0.00780500997896536,FALSE,NA,NA,92,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00781 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",4,"drop_survey/4",TRUE,2020,2020,2019,391,-20152.5839022642,0.00380962434012228,FALSE,NA,NA,90.6,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00381 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",5,"drop_survey/5",TRUE,2019,2019,2019,386,-19757.7274963,0.00148340631336732,FALSE,NA,NA,95.2,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00148 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",6,"drop_survey/6",TRUE,2018,2018,2018,381,-18989.6954624744,0.00231635508030892,FALSE,NA,NA,90.4,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00232 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",7,"drop_survey/7",TRUE,2017,2017,2017,376,-18199.0361089149,0.0105601406610459,FALSE,NA,NA,81.7,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.0106 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",8,"drop_survey/8",TRUE,2016,2016,2016,371,-17448.6709692562,0.00131183543134183,FALSE,NA,NA,78.4,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00131 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",9,"drop_survey/9",TRUE,2015,2015,2015,366,-16669.5340861481,0.00202361455271837,FALSE,NA,NA,75.2,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00202 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",10,"drop_survey/10",TRUE,2014,2014,2014,361,-15942.5253479874,0.000466553659537039,TRUE,NA,NA,70.9,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"standard",0,"standard/0",TRUE,2024,2024,2025,407,-19227.162683418,1.3686957185976,FALSE,172.66517961,43.82665632,435.8,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 1.37 > 1e-03"
